n,ms,bfs mean,dfs mean,bfs2 mean,dfs2 mean
2,100,0.3,0.3,0.3,0.3
3,100,0.6506666666666667,0.6840000000000002,0.6506666666666667,0.6493333333333333
4,100,1.404,1.2333333333333334,1.2533333333333334,1.1133333333333333
5,100,2.6373333333333333,2.022666666666667,2.1786666666666665,1.6560000000000001
6,100,4.397333333333333,2.844,3.2333333333333334,2.3693333333333335
7,100,7.885333333333333,4.068,5.574666666666666,3.250666666666667
8,100,12.288000000000002,5.126666666666667,8.084000000000001,4.046666666666667
9,100,6.5,5.1,6.5,5.1
10,100,31.9,11.1,27.3,11.1
