n,ms,bfs,dfs
2,100,0.3,0.3
3,100,0.7,0.5
3,100,0.5,0.9
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.9,0.9
3,100,0.5,0.7
3,100,0.9,0.7
3,100,0.7,0.7
2,100,0.3,0.3
4,100,1.1,0.9
5,100,1.3,1.1
6,100,1.7,1.5
7,100,3.7,1.9
8,100,24.3,7.9
9,100,3.1,5.5
10,100,50.7,11.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
3,100,0.9,0.9
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.7,0.5
3,100,0.9,0.9
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.7,0.5
3,100,0.5,0.5
3,100,0.9,0.7
3,100,0.7,0.5
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.5,0.7
3,100,0.7,0.7
3,100,0.7,0.7
3,100,0.7,1.1
3,100,0.5,0.7
3,100,0.5,0.5
3,100,0.7,0.5
3,100,0.7,0.7
3,100,0.7,0.5
3,100,0.5,0.5
3,100,0.7,0.7
3,100,0.5,0.7
3,100,0.5,0.5
3,100,0.7,1.1
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.5,0.7
3,100,0.5,0.7
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.5,0.5
3,100,0.5,0.9
3,100,0.5,0.7
3,100,0.5,0.5
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.7,0.7
3,100,0.7,1.1
3,100,0.7,0.5
3,100,0.5,0.9
3,100,0.9,0.9
3,100,0.5,0.5
3,100,0.5,0.5
3,100,0.5,0.9
3,100,0.5,0.5
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.5,0.9
3,100,0.7,0.7
3,100,0.7,0.5
3,100,0.5,0.5
3,100,0.7,0.7
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.7,1.1
3,100,0.7,1.1
3,100,0.7,0.5
4,100,1.1,1.1
4,100,1.5,1.1
4,100,1.7,1.3
4,100,1.7,1.7
4,100,1.1,0.9
4,100,0.9,0.7
4,100,2.3,1.7
4,100,0.9,0.9
4,100,1.5,1.7
4,100,1.1,1.1
4,100,1.5,1.3
4,100,0.9,0.9
4,100,0.9,0.7
4,100,1.1,0.9
4,100,1.1,0.9
4,100,0.7,0.7
4,100,1.3,1.1
4,100,0.9,0.7
4,100,0.9,0.7
4,100,1.7,0.9
4,100,0.9,0.7
4,100,1.1,0.9
4,100,0.9,0.7
4,100,1.1,1.1
4,100,1.7,1.5
4,100,2.5,1.7
4,100,1.7,1.5
4,100,1.9,1.7
4,100,0.7,0.7
4,100,1.3,1.1
4,100,1.7,1.9
4,100,2.5,1.7
5,100,3.3,1.7
5,100,2.9,2.1
5,100,1.3,1.1
5,100,1.5,1.3
5,100,1.3,2.5
5,100,1.7,0.9
5,100,1.9,3.3
5,100,4.1,2.5
5,100,3.1,2.3
5,100,4.9,1.5
5,100,1.5,3.3
5,100,1.7,1.7
5,100,1.1,1.1
5,100,1.1,1.1
5,100,2.5,2.1
5,100,0.9,1.7
5,100,1.1,3.5
6,100,4.5,3.5
6,100,3.9,2.3
6,100,2.9,1.1
6,100,6.3,2.3
6,100,8.3,3.3
6,100,2.5,4.1
6,100,4.3,3.1
6,100,2.5,2.5
6,100,5.7,3.7
6,100,3.1,2.1
6,100,3.1,1.3
6,100,4.7,3.7
6,100,1.5,2.7
6,100,2.1,4.3
6,100,1.3,1.1
6,100,2.9,2.1
6,100,2.7,2.3
6,100,5.3,3.9
6,100,2.9,1.1
6,100,4.3,2.7
6,100,2.1,4.9
6,100,5.7,5.1
6,100,4.7,1.5
6,100,12.7,2.5
6,100,1.7,1.5
6,100,2.9,1.7
6,100,3.1,1.3
6,100,2.3,2.1
6,100,9.9,2.7
6,100,3.5,3.1
6,100,2.5,3.1
6,100,8.3,3.7
6,100,4.3,5.3
7,100,4.7,2.9
7,100,5.1,1.9
7,100,1.9,1.5
7,100,4.3,2.3
7,100,14.5,5.5
7,100,1.5,1.3
7,100,4.3,3.3
7,100,8.7,5.5
7,100,1.7,2.1
7,100,15.1,5.1
7,100,12.7,2.5
7,100,1.7,3.3
7,100,12.9,4.5
7,100,16.7,3.7
7,100,13.7,5.3
7,100,2.1,1.9
7,100,2.7,1.9
7,100,4.9,2.9
7,100,15.3,5.3
6,100,6.3,3.3
6,100,7.5,4.1
6,100,8.9,2.5
6,100,11.7,3.7
6,100,6.7,2.7
5,100,3.1,2.3
5,100,3.5,3.1
5,100,2.1,1.3
5,100,1.3,1.1
5,100,4.3,3.1
5,100,1.3,1.1
5,100,1.1,3.7
5,100,1.3,1.3
5,100,1.3,3.5
5,100,1.1,0.9
5,100,1.5,1.5
5,100,1.3,3.3
5,100,5.7,2.1
5,100,1.3,1.5
5,100,1.7,2.5
5,100,3.5,2.3
5,100,4.5,1.3
5,100,7.1,1.7
5,100,4.1,2.5
5,100,8.1,3.1
5,100,2.3,1.3
5,100,1.9,1.1
5,100,1.9,1.7
5,100,1.3,1.3
5,100,2.3,2.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
4,100,1.3,1.1
4,100,2.3,1.7
4,100,1.3,1.1
4,100,0.7,0.7
4,100,1.1,0.9
4,100,0.9,0.9
4,100,1.9,1.7
4,100,0.9,0.7
4,100,1.5,0.7
4,100,1.1,0.9
4,100,1.1,0.9
4,100,1.5,1.3
4,100,1.3,1.3
4,100,1.7,1.5
4,100,1.5,2.1
4,100,0.9,0.7
4,100,1.5,0.7
4,100,0.9,0.9
4,100,1.1,2.1
4,100,2.9,1.5
4,100,1.5,1.5
4,100,1.3,1.1
4,100,1.5,1.5
4,100,0.7,0.7
4,100,1.7,1.7
4,100,1.1,1.1
4,100,0.9,1.7
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
3,100,0.7,1.1
3,100,0.9,0.9
3,100,0.5,0.9
3,100,0.5,0.5
3,100,0.5,0.5
3,100,0.9,0.9
3,100,0.5,0.7
3,100,0.9,0.9
3,100,0.7,1.1
3,100,0.5,0.5
3,100,0.5,0.7
3,100,0.9,0.9
3,100,0.5,0.5
3,100,0.5,0.9
3,100,0.5,0.5
3,100,0.5,0.7
3,100,0.5,0.7
3,100,0.5,0.5
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.5,0.5
3,100,0.7,1.1
3,100,0.7,0.7
3,100,0.7,0.7
4,100,1.3,1.3
4,100,1.9,1.7
4,100,3.5,1.5
4,100,1.7,1.3
4,100,0.7,1.5
4,100,1.1,2.1
4,100,1.5,1.5
4,100,0.7,1.9
4,100,1.5,1.1
4,100,1.1,1.5
4,100,1.7,1.5
4,100,0.7,0.7
4,100,0.9,1.3
4,100,1.9,1.7
4,100,0.9,0.7
4,100,0.9,2.1
4,100,0.9,0.9
4,100,0.9,0.7
4,100,0.9,2.1
4,100,4.3,1.7
4,100,0.9,1.7
4,100,1.9,1.7
4,100,0.7,1.1
4,100,0.9,0.9
4,100,1.3,1.1
4,100,1.3,1.3
4,100,1.5,0.7
4,100,1.3,1.1
4,100,1.5,2.1
4,100,1.7,1.5
4,100,0.9,0.9
4,100,0.9,0.7
4,100,0.9,0.7
4,100,1.3,1.3
4,100,0.7,1.3
4,100,1.9,1.7
4,100,1.7,1.5
4,100,0.7,1.3
4,100,1.9,1.7
4,100,3.5,1.5
4,100,1.5,1.7
4,100,1.7,1.3
4,100,1.1,0.9
4,100,1.5,0.7
4,100,2.9,1.9
4,100,1.1,1.1
4,100,1.9,1.7
4,100,0.9,0.7
4,100,0.7,0.7
4,100,1.5,1.3
5,100,7.1,3.1
5,100,1.7,1.5
5,100,1.1,0.9
5,100,1.1,0.9
5,100,2.9,2.1
5,100,2.1,1.9
5,100,2.3,2.1
5,100,1.5,2.7
5,100,1.7,2.3
5,100,3.1,2.7
5,100,5.3,1.9
5,100,2.1,1.3
5,100,1.5,1.3
5,100,2.1,1.3
5,100,8.1,3.1
5,100,2.5,2.5
5,100,7.1,1.9
5,100,4.1,2.5
5,100,1.7,1.3
5,100,1.7,1.3
5,100,1.1,0.9
5,100,2.5,1.7
5,100,4.9,1.7
5,100,2.3,1.3
5,100,1.5,1.5
5,100,5.5,2.1
5,100,1.1,0.9
5,100,1.3,1.3
5,100,2.3,1.5
5,100,1.7,1.5
5,100,1.3,2.7
5,100,3.1,2.3
5,100,1.1,1.1
5,100,6.3,2.3
5,100,1.7,1.5
5,100,5.7,2.9
5,100,2.7,2.5
5,100,10.7,2.9
5,100,1.3,2.1
5,100,2.3,3.1
5,100,2.1,1.3
5,100,1.3,1.1
5,100,2.1,1.9
5,100,3.1,2.3
5,100,1.7,1.7
5,100,5.3,2.1
5,100,2.1,1.7
5,100,4.3,3.1
5,100,1.1,1.3
5,100,4.7,2.5
5,100,3.1,1.3
5,100,7.1,2.7
5,100,2.9,2.1
5,100,1.1,2.1
5,100,9.1,2.1
5,100,2.7,1.9
5,100,2.5,2.1
5,100,5.3,2.1
5,100,1.7,1.5
5,100,3.3,2.7
5,100,1.5,1.5
5,100,1.7,0.9
5,100,1.7,0.9
5,100,1.3,1.1
5,100,1.7,3.1
5,100,6.5,2.5
5,100,2.7,2.3
5,100,1.7,1.5
10,100,27.3,9.5
10,100,12.9,12.3
10,100,19.7,14.7
10,100,14.5,6.3
10,100,7.7,3.9
10,100,3.7,5.9
10,100,14.1,10.5
10,100,14.3,11.5
10,100,68.7,12.5
10,100,12.3,14.9
10,100,68.5,12.5
10,100,6.7,15.1
10,100,8.5,5.3
10,100,53.9,8.5
10,100,58.9,9.7
9,100,27.7,6.5
9,100,14.1,5.7
9,100,13.7,9.9
9,100,32.9,6.3
9,100,3.1,8.7
9,100,8.9,3.5
9,100,43.7,7.7
9,100,107.5,3.9
9,100,18.9,6.7
9,100,10.3,4.3
9,100,33.1,8.7
9,100,8.9,11.9
9,100,11.9,4.5
9,100,6.5,6.5
9,100,43.7,5.7
9,100,34.7,4.9
9,100,2.1,2.1
8,100,6.7,6.7
8,100,22.5,5.3
8,100,4.3,6.5
8,100,39.9,8.5
8,100,6.7,8.3
8,100,5.1,3.9
8,100,31.7,4.5
8,100,20.7,7.9
8,100,22.1,5.9
8,100,12.1,7.5
8,100,19.5,5.7
8,100,18.9,4.5
8,100,27.5,6.7
8,100,20.5,6.3
8,100,46.7,3.7
8,100,7.3,9.7
8,100,6.5,5.1
8,100,10.7,8.5
8,100,12.1,8.3
8,100,26.5,7.1
8,100,21.5,6.5
8,100,18.9,6.3
8,100,2.5,2.5
8,100,16.5,7.1
8,100,2.1,1.9
8,100,10.7,5.7
8,100,14.3,5.5
8,100,6.9,5.7
8,100,13.5,6.3
8,100,3.3,10.3
8,100,10.9,5.3
8,100,8.5,4.5
8,100,51.3,4.1
8,100,13.5,4.5
8,100,8.5,6.1
8,100,19.3,4.9
8,100,5.3,4.1
8,100,6.3,4.5
8,100,11.5,4.7
8,100,9.9,2.5
8,100,14.5,5.3
8,100,10.3,6.3
8,100,2.5,2.7
8,100,2.7,7.3
8,100,3.9,4.7
8,100,10.3,5.1
8,100,26.7,5.9
9,100,9.1,12.1
9,100,9.3,1.9
9,100,6.9,12.3
9,100,14.9,9.7
9,100,15.5,5.9
9,100,12.3,11.1
9,100,13.5,3.5
9,100,37.7,7.9
9,100,7.1,4.1
9,100,23.7,6.5
9,100,18.3,4.9
9,100,8.3,5.1
9,100,15.3,7.5
9,100,24.7,8.9
9,100,5.5,4.3
9,100,2.5,1.7
9,100,24.7,7.9
9,100,12.1,3.9
9,100,10.7,6.5
9,100,9.9,7.7
9,100,27.3,6.1
9,100,15.5,5.3
9,100,24.1,9.3
9,100,35.9,5.9
9,100,7.1,3.5
9,100,2.9,2.5
9,100,6.3,4.7
9,100,9.7,3.5
9,100,39.9,6.7
9,100,11.3,3.1
9,100,45.5,6.5
9,100,14.1,10.9
9,100,27.5,6.5
9,100,5.9,2.7
9,100,35.7,10.5
9,100,23.1,7.1
9,100,6.7,3.5
9,100,15.9,7.7
9,100,21.3,4.7
9,100,2.9,2.7
9,100,13.7,5.3
9,100,4.1,3.1
9,100,12.9,5.1
9,100,8.5,4.5
9,100,22.1,8.5
9,100,22.3,8.5
9,100,20.1,9.3
9,100,34.7,8.7
9,100,49.5,8.5
9,100,15.9,4.7
9,100,10.9,11.7
9,100,14.1,6.3
9,100,43.3,9.9
9,100,6.3,4.1
9,100,33.1,4.9
9,100,18.3,8.3
9,100,41.5,5.5
9,100,18.3,7.7
10,100,8.7,3.7
10,100,31.1,9.5
10,100,59.1,10.9
10,100,12.7,10.1
10,100,15.5,12.7
10,100,38.5,6.9
10,100,49.7,13.9
10,100,40.9,14.7
10,100,9.5,15.7
10,100,12.7,6.1
7,100,4.3,6.1
7,100,6.7,3.3
7,100,3.5,3.5
7,100,8.3,3.1
7,100,3.7,5.7
7,100,4.3,3.7
7,100,5.9,5.1
7,100,5.5,2.9
7,100,10.5,4.5
7,100,13.7,7.1
7,100,5.9,4.1
7,100,5.7,2.3
5,100,2.3,1.5
5,100,2.5,2.5
5,100,3.5,2.7
5,100,0.9,2.9
5,100,6.5,3.1
5,100,1.1,1.1
5,100,1.3,1.1
5,100,11.1,3.3
5,100,1.5,1.3
5,100,1.9,1.1
5,100,2.3,2.1
5,100,2.3,1.9
5,100,1.3,1.1
5,100,3.1,2.3
5,100,1.9,3.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
6,100,1.9,5.7
6,100,2.1,2.7
6,100,7.9,3.3
6,100,3.7,4.7
6,100,1.5,1.3
6,100,4.3,3.3
6,100,2.1,1.3
6,100,4.3,1.1
6,100,2.7,1.9
6,100,16.9,4.9
